date,Mexico drug war
2020-01-01,46
2020-02-01,80
2020-03-01,58
2020-04-01,54
2020-05-01,40
2020-06-01,26
2020-07-01,34
2020-08-01,25
2020-09-01,24
2020-10-01,35
2020-11-01,32
2020-12-01,37
2021-01-01,27
2021-02-01,31
2021-03-01,30
2021-04-01,31
2021-05-01,29
2021-06-01,29
2021-07-01,22
2021-08-01,23
2021-09-01,22
2021-10-01,29
2021-11-01,51
2021-12-01,36
2022-01-01,27
2022-02-01,33
2022-03-01,40
2022-04-01,42
2022-05-01,51
2022-06-01,25
2022-07-01,25
2022-08-01,35
2022-09-01,31
2022-10-01,29
2022-11-01,34
2022-12-01,36
2023-01-01,93
2023-02-01,37
2023-03-01,48
2023-04-01,40
2023-05-01,47
2023-06-01,25
2023-07-01,21
2023-08-01,20
2023-09-01,26
2023-10-01,34
2023-11-01,26
2023-12-01,32
2024-01-01,20
2024-02-01,37
2024-03-01,31
2024-04-01,35
2024-05-01,40
2024-06-01,25
2024-07-01,19
2024-08-01,21
2024-09-01,30
2024-10-01,32
2024-11-01,30
2024-12-01,26
2025-01-01,29
2025-02-01,31
2025-03-01,42
2025-04-01,35
2025-05-01,33
2025-06-01,23
2025-07-01,27
2025-08-01,66
2025-09-01,84
2025-10-01,100
